direction,gap_time,gap_edge,gap_far_edge,outcome,sl,tp1,tp2,gap_time_thai
1,2017-01-10 10:45:00,1184.699,1183.769,sl_too_tight,,,,2017-01-10 17:45:00
-1,2017-01-10 12:45:00,1183.868,1184.558,against_bias,,,,2017-01-10 19:45:00
-1,2017-01-10 13:00:00,1182.528,1183.008,against_bias,,,,2017-01-10 20:00:00
1,2017-01-10 14:30:00,1185.062,1184.241,sl_too_tight,,,,2017-01-10 21:30:00
1,2017-01-10 14:45:00,1188.782,1185.638,signal,1183.2497071428572,1199.8465857142853,1210.9111714285707,2017-01-10 21:45:00
-1,2017-01-10 15:30:00,1188.268,1188.531,against_bias,,,,2017-01-10 22:30:00
1,2017-01-11 08:30:00,1190.128,1188.508,no_room,,,,2017-01-11 15:30:00
-1,2017-01-11 09:45:00,1188.668,1188.931,against_bias,,,,2017-01-11 16:45:00
1,2017-01-11 11:30:00,1189.069,1188.809,sl_too_tight,,,,2017-01-11 18:30:00
-1,2017-01-11 12:15:00,1189.019,1189.081,against_bias,,,,2017-01-11 19:15:00
-1,2017-01-11 14:15:00,1186.929,1187.661,against_bias,,,,2017-01-11 21:15:00
-1,2017-01-11 14:30:00,1184.539,1185.929,against_bias,,,,2017-01-11 21:30:00
-1,2017-01-11 14:45:00,1183.659,1184.298,no_room,,,,2017-01-11 21:45:00
-1,2017-01-11 15:00:00,1180.488,1182.718,no_room,,,,2017-01-11 22:00:00
-1,2017-01-11 15:15:00,1178.888,1179.578,no_room,,,,2017-01-11 22:15:00
1,2017-01-12 07:00:00,1199.662,1199.529,sl_too_tight,,,,2017-01-12 14:00:00
1,2017-01-12 08:15:00,1201.518,1200.309,sl_too_tight,,,,2017-01-12 15:15:00
1,2017-01-12 08:30:00,1202.628,1202.329,signal,1199.4516357142857,1208.9807285714285,1215.333457142857,2017-01-12 15:30:00
1,2017-01-12 08:45:00,1204.018,1203.328,sl_too_tight,,,,2017-01-12 15:45:00
-1,2017-01-12 13:30:00,1202.769,1203.878,against_bias,,,,2017-01-12 20:30:00
1,2017-01-12 14:45:00,1202.778,1202.049,sl_too_tight,,,,2017-01-12 21:45:00
-1,2017-01-12 15:45:00,1202.418,1203.608,against_bias,,,,2017-01-12 22:45:00
1,2017-01-13 09:30:00,1196.531,1195.989,sl_too_tight,,,,2017-01-13 16:30:00
-1,2017-01-13 14:15:00,1194.729,1196.211,against_bias,,,,2017-01-13 21:15:00
-1,2017-01-13 14:45:00,1190.058,1191.498,signal,1194.9585071428571,1181.231507142857,1172.405014285714,2017-01-13 21:45:00
1,2017-01-13 15:15:00,1191.282,1190.058,against_bias,,,,2017-01-13 22:15:00
1,2017-01-13 15:30:00,1193.561,1192.712,against_bias,,,,2017-01-13 22:30:00
-1,2017-01-16 07:45:00,1205.379,1205.438,against_bias,,,,2017-01-16 14:45:00
-1,2017-01-16 08:15:00,1203.869,1203.928,against_bias,,,,2017-01-16 15:15:00
-1,2017-01-16 09:00:00,1202.428,1202.729,against_bias,,,,2017-01-16 16:00:00
1,2017-01-16 10:15:00,1202.509,1202.479,sl_too_tight,,,,2017-01-16 17:15:00
1,2017-01-16 12:00:00,1203.571,1203.259,sl_too_tight,,,,2017-01-16 19:00:00
1,2017-01-17 08:15:00,1212.468,1211.231,sl_too_tight,,,,2017-01-17 15:15:00
1,2017-01-17 09:45:00,1216.248,1214.159,signal,1213.1862928571427,1222.3714142857148,1228.4948285714295,2017-01-17 16:45:00
-1,2017-01-17 10:15:00,1215.519,1216.248,against_bias,,,,2017-01-17 17:15:00
1,2017-01-17 10:45:00,1216.121,1215.519,sl_too_tight,,,,2017-01-17 17:45:00
-1,2017-01-17 12:00:00,1216.549,1216.599,against_bias,,,,2017-01-17 19:00:00
1,2017-01-17 14:00:00,1215.551,1213.419,signal,1211.5587357142858,1223.5355285714281,1231.5200571428563,2017-01-17 21:00:00
-1,2017-01-18 07:30:00,1211.879,1212.092,against_bias,,,,2017-01-18 14:30:00
1,2017-01-18 08:15:00,1212.838,1211.789,sl_too_tight,,,,2017-01-18 15:15:00
1,2017-01-18 10:00:00,1213.788,1213.349,sl_too_tight,,,,2017-01-18 17:00:00
-1,2017-01-18 10:30:00,1213.039,1213.788,against_bias,,,,2017-01-18 17:30:00
-1,2017-01-18 10:45:00,1212.448,1212.558,against_bias,,,,2017-01-18 17:45:00
1,2017-01-18 12:00:00,1212.761,1212.339,sl_too_tight,,,,2017-01-18 19:00:00
-1,2017-01-19 07:30:00,1200.308,1201.388,sl_too_tight,,,,2017-01-19 14:30:00
1,2017-01-19 08:30:00,1200.748,1200.128,against_bias,,,,2017-01-19 15:30:00
1,2017-01-19 08:45:00,1202.298,1201.358,against_bias,,,,2017-01-19 15:45:00
-1,2017-01-19 10:15:00,1203.978,1204.021,sl_too_tight,,,,2017-01-19 17:15:00
1,2017-01-19 13:00:00,1204.208,1204.042,against_bias,,,,2017-01-19 20:00:00
-1,2017-01-19 13:45:00,1202.938,1203.908,no_room,,,,2017-01-19 20:45:00
-1,2017-01-20 07:45:00,1206.539,1207.598,against_bias,,,,2017-01-20 14:45:00
-1,2017-01-20 08:30:00,1204.419,1204.648,against_bias,,,,2017-01-20 15:30:00
-1,2017-01-20 08:45:00,1203.459,1203.848,against_bias,,,,2017-01-20 15:45:00
-1,2017-01-20 10:00:00,1201.689,1202.248,against_bias,,,,2017-01-20 17:00:00
-1,2017-01-20 10:15:00,1200.189,1200.541,against_bias,,,,2017-01-20 17:15:00
-1,2017-01-20 10:30:00,1199.769,1199.788,against_bias,,,,2017-01-20 17:30:00
1,2017-01-20 12:00:00,1200.192,1199.989,sl_too_tight,,,,2017-01-20 19:00:00
1,2017-01-20 12:15:00,1201.541,1200.818,sl_too_tight,,,,2017-01-20 19:15:00
-1,2017-01-20 14:45:00,1202.549,1202.868,against_bias,,,,2017-01-20 21:45:00
1,2017-01-20 15:15:00,1203.411,1202.549,no_room,,,,2017-01-20 22:15:00
-1,2017-01-23 07:30:00,1215.139,1215.388,against_bias,,,,2017-01-23 14:30:00
-1,2017-01-23 08:30:00,1213.639,1213.658,against_bias,,,,2017-01-23 15:30:00
-1,2017-01-23 09:00:00,1212.059,1212.779,against_bias,,,,2017-01-23 16:00:00
1,2017-01-23 09:45:00,1211.778,1211.709,sl_too_tight,,,,2017-01-23 16:45:00
1,2017-01-23 10:00:00,1212.012,1211.978,sl_too_tight,,,,2017-01-23 17:00:00
1,2017-01-23 10:15:00,1212.839,1212.468,sl_too_tight,,,,2017-01-23 17:15:00
-1,2017-01-23 11:00:00,1213.208,1213.288,against_bias,,,,2017-01-23 18:00:00
-1,2017-01-23 11:15:00,1212.208,1213.101,against_bias,,,,2017-01-23 18:15:00
1,2017-01-23 13:30:00,1214.491,1214.488,sl_too_tight,,,,2017-01-23 20:30:00
-1,2017-01-23 14:15:00,1213.319,1214.148,against_bias,,,,2017-01-23 21:15:00
1,2017-01-23 15:15:00,1213.218,1213.112,no_room,,,,2017-01-23 22:15:00
1,2017-01-23 15:30:00,1215.049,1214.631,sl_too_tight,,,,2017-01-23 22:30:00
-1,2017-01-24 08:00:00,1213.558,1214.671,against_bias,,,,2017-01-24 15:00:00
1,2017-01-24 09:00:00,1213.468,1213.429,sl_too_tight,,,,2017-01-24 16:00:00
-1,2017-01-24 09:30:00,1213.339,1213.468,against_bias,,,,2017-01-24 16:30:00
-1,2017-01-24 11:00:00,1212.379,1212.838,against_bias,,,,2017-01-24 18:00:00
1,2017-01-24 12:00:00,1213.181,1213.049,sl_too_tight,,,,2017-01-24 19:00:00
1,2017-01-24 14:45:00,1215.568,1214.419,sl_too_tight,,,,2017-01-24 21:45:00
-1,2017-01-24 15:30:00,1214.909,1215.088,against_bias,,,,2017-01-24 22:30:00
1,2017-01-25 07:30:00,1203.902,1203.528,against_bias,,,,2017-01-25 14:30:00
-1,2017-01-25 08:45:00,1203.539,1203.962,sl_too_tight,,,,2017-01-25 15:45:00
-1,2017-01-25 09:00:00,1202.368,1203.241,sl_too_tight,,,,2017-01-25 16:00:00
1,2017-01-25 09:45:00,1202.778,1202.492,against_bias,,,,2017-01-25 16:45:00
1,2017-01-25 10:00:00,1203.562,1202.778,against_bias,,,,2017-01-25 17:00:00
1,2017-01-25 11:00:00,1204.018,1203.891,against_bias,,,,2017-01-25 18:00:00
1,2017-01-25 12:15:00,1205.591,1205.049,against_bias,,,,2017-01-25 19:15:00
-1,2017-01-25 13:00:00,1205.698,1205.921,sl_too_tight,,,,2017-01-25 20:00:00
-1,2017-01-25 13:15:00,1204.711,1204.889,sl_too_tight,,,,2017-01-25 20:15:00
-1,2017-01-25 13:45:00,1203.618,1203.871,sl_too_tight,,,,2017-01-25 20:45:00
-1,2017-01-25 14:15:00,1199.739,1202.511,no_room,,,,2017-01-25 21:15:00
-1,2017-01-25 14:30:00,1198.162,1199.731,no_room,,,,2017-01-25 21:30:00
1,2017-01-26 09:00:00,1197.341,1197.168,against_bias,,,,2017-01-26 16:00:00
-1,2017-01-26 09:30:00,1197.138,1197.341,sl_too_tight,,,,2017-01-26 16:30:00
-1,2017-01-26 09:45:00,1195.291,1196.938,no_room,,,,2017-01-26 16:45:00
-1,2017-01-26 10:00:00,1194.449,1194.769,sl_too_tight,,,,2017-01-26 17:00:00
-1,2017-01-26 12:15:00,1190.241,1192.119,no_room,,,,2017-01-26 19:15:00
-1,2017-01-26 13:00:00,1188.168,1189.541,sl_too_tight,,,,2017-01-26 20:00:00
1,2017-01-26 13:45:00,1189.081,1188.431,against_bias,,,,2017-01-26 20:45:00
-1,2017-01-26 15:15:00,1188.638,1189.421,sl_too_tight,,,,2017-01-26 22:15:00
1,2017-01-27 08:15:00,1183.608,1182.438,against_bias,,,,2017-01-27 15:15:00
-1,2017-01-27 08:45:00,1182.979,1183.608,sl_too_tight,,,,2017-01-27 15:45:00
1,2017-01-27 09:15:00,1183.208,1182.979,against_bias,,,,2017-01-27 16:15:00
1,2017-01-27 10:00:00,1184.031,1183.999,against_bias,,,,2017-01-27 17:00:00
1,2017-01-27 11:30:00,1185.028,1184.319,against_bias,,,,2017-01-27 18:30:00
-1,2017-01-27 12:00:00,1184.569,1185.028,sl_too_tight,,,,2017-01-27 19:00:00
-1,2017-01-27 13:00:00,1183.231,1183.368,sl_too_tight,,,,2017-01-27 20:00:00
1,2017-01-27 14:15:00,1185.149,1184.128,against_bias,,,,2017-01-27 21:15:00
-1,2017-01-30 07:45:00,1191.759,1191.859,sl_too_tight,,,,2017-01-30 14:45:00
-1,2017-01-30 08:15:00,1190.338,1190.898,sl_too_tight,,,,2017-01-30 15:15:00
1,2017-01-30 10:30:00,1189.692,1189.169,against_bias,,,,2017-01-30 17:30:00
1,2017-01-30 10:45:00,1190.902,1190.272,against_bias,,,,2017-01-30 17:45:00
1,2017-01-30 13:45:00,1192.518,1192.339,against_bias,,,,2017-01-30 20:45:00
1,2017-01-30 14:00:00,1193.278,1193.068,against_bias,,,,2017-01-30 21:00:00
1,2017-01-30 15:15:00,1196.201,1194.479,against_bias,,,,2017-01-30 22:15:00
-1,2017-01-31 07:00:00,1200.079,1200.288,against_bias,,,,2017-01-31 14:00:00
-1,2017-01-31 08:45:00,1197.648,1199.538,against_bias,,,,2017-01-31 15:45:00
1,2017-01-31 11:45:00,1198.768,1198.248,sl_too_tight,,,,2017-01-31 18:45:00
1,2017-01-31 12:00:00,1203.588,1199.698,no_room,,,,2017-01-31 19:00:00
1,2017-01-31 12:30:00,1205.228,1205.049,sl_too_tight,,,,2017-01-31 19:30:00
1,2017-01-31 14:30:00,1208.938,1206.289,no_room,,,,2017-01-31 21:30:00
1,2017-01-31 14:45:00,1211.279,1210.368,no_room,,,,2017-01-31 21:45:00
1,2017-02-01 07:15:00,1208.008,1207.529,sl_too_tight,,,,2017-02-01 14:15:00
1,2017-02-01 08:30:00,1209.718,1208.529,sl_too_tight,,,,2017-02-01 15:30:00
1,2017-02-01 09:00:00,1211.089,1210.668,sl_too_tight,,,,2017-02-01 16:00:00
-1,2017-02-01 10:15:00,1210.569,1210.771,against_bias,,,,2017-02-01 17:15:00
-1,2017-02-01 13:15:00,1209.333,1210.349,against_bias,,,,2017-02-01 20:15:00
-1,2017-02-01 13:30:00,1206.978,1210.109,against_bias,,,,2017-02-01 20:30:00
-1,2017-02-01 15:15:00,1200.149,1204.149,no_room,,,,2017-02-01 22:15:00
1,2017-02-01 15:45:00,1201.311,1200.149,against_bias,,,,2017-02-01 22:45:00
-1,2017-02-02 07:00:00,1213.819,1214.358,against_bias,,,,2017-02-02 14:00:00
1,2017-02-02 07:30:00,1214.072,1213.819,sl_too_tight,,,,2017-02-02 14:30:00
1,2017-02-02 08:45:00,1216.468,1215.059,sl_too_tight,,,,2017-02-02 15:45:00
1,2017-02-02 10:15:00,1220.479,1217.608,signal,1216.4133928571428,1228.6102142857146,1236.7414285714292,2017-02-02 17:15:00
-1,2017-02-02 12:45:00,1220.659,1220.838,against_bias,,,,2017-02-02 19:45:00
1,2017-02-02 13:15:00,1222.108,1220.659,sl_too_tight,,,,2017-02-02 20:15:00
-1,2017-02-02 14:15:00,1222.618,1223.018,against_bias,,,,2017-02-02 21:15:00
-1,2017-02-02 15:15:00,1220.819,1221.161,against_bias,,,,2017-02-02 22:15:00
1,2017-02-03 07:30:00,1213.638,1213.579,against_bias,,,,2017-02-03 14:30:00
-1,2017-02-03 08:30:00,1213.379,1213.738,sl_too_tight,,,,2017-02-03 15:30:00
-1,2017-02-03 11:45:00,1212.679,1213.058,sl_too_tight,,,,2017-02-03 18:45:00
-1,2017-02-03 12:00:00,1211.979,1212.668,sl_too_tight,,,,2017-02-03 19:00:00
1,2017-02-03 13:45:00,1213.668,1212.332,against_bias,,,,2017-02-03 20:45:00
1,2017-02-03 15:15:00,1217.182,1216.809,against_bias,,,,2017-02-03 22:15:00
1,2017-02-03 15:30:00,1218.541,1217.832,against_bias,,,,2017-02-03 22:30:00
-1,2017-02-06 07:00:00,1223.808,1223.872,against_bias,,,,2017-02-06 14:00:00
-1,2017-02-06 07:15:00,1222.478,1223.469,against_bias,,,,2017-02-06 14:15:00
1,2017-02-06 08:15:00,1223.248,1223.229,sl_too_tight,,,,2017-02-06 15:15:00
-1,2017-02-06 10:15:00,1222.458,1222.808,against_bias,,,,2017-02-06 17:15:00
1,2017-02-06 11:15:00,1223.368,1222.959,sl_too_tight,,,,2017-02-06 18:15:00
1,2017-02-06 11:30:00,1224.838,1223.859,sl_too_tight,,,,2017-02-06 18:30:00
1,2017-02-06 13:00:00,1228.018,1227.008,sl_too_tight,,,,2017-02-06 20:00:00
1,2017-02-06 15:45:00,1227.658,1227.248,sl_too_tight,,,,2017-02-06 22:45:00
-1,2017-02-07 07:45:00,1232.132,1232.861,against_bias,,,,2017-02-07 14:45:00
-1,2017-02-07 08:00:00,1230.929,1231.748,against_bias,,,,2017-02-07 15:00:00
-1,2017-02-07 09:30:00,1229.749,1230.328,against_bias,,,,2017-02-07 16:30:00
1,2017-02-07 10:30:00,1230.418,1229.822,sl_too_tight,,,,2017-02-07 17:30:00
-1,2017-02-07 11:00:00,1230.398,1230.418,against_bias,,,,2017-02-07 18:00:00
-1,2017-02-07 11:15:00,1229.649,1230.398,against_bias,,,,2017-02-07 18:15:00
1,2017-02-07 12:15:00,1230.532,1229.768,sl_too_tight,,,,2017-02-07 19:15:00
1,2017-02-07 15:30:00,1232.478,1231.688,sl_too_tight,,,,2017-02-07 22:30:00
-1,2017-02-08 07:00:00,1231.498,1231.529,against_bias,,,,2017-02-08 14:00:00
1,2017-02-08 08:15:00,1232.662,1231.989,sl_too_tight,,,,2017-02-08 15:15:00
1,2017-02-08 08:30:00,1233.318,1232.738,sl_too_tight,,,,2017-02-08 15:30:00
1,2017-02-08 09:00:00,1236.349,1234.612,signal,1233.1769285714286,1242.6931428571427,1249.0372857142854,2017-02-08 16:00:00
1,2017-02-08 12:30:00,1238.201,1237.972,sl_too_tight,,,,2017-02-08 19:30:00
-1,2017-02-08 13:45:00,1239.049,1239.388,against_bias,,,,2017-02-08 20:45:00
1,2017-02-08 14:15:00,1239.338,1239.049,sl_too_tight,,,,2017-02-08 21:15:00
1,2017-02-08 14:45:00,1242.219,1240.799,signal,1239.1711142857143,1248.3147714285715,1254.410542857143,2017-02-08 21:45:00
-1,2017-02-08 15:15:00,1241.879,1242.219,against_bias,,,,2017-02-08 22:15:00
1,2017-02-09 08:15:00,1241.092,1240.089,sl_too_tight,,,,2017-02-09 15:15:00
1,2017-02-09 09:30:00,1242.919,1242.299,sl_too_tight,,,,2017-02-09 16:30:00
-1,2017-02-09 10:00:00,1242.568,1242.919,against_bias,,,,2017-02-09 17:00:00
-1,2017-02-09 10:15:00,1242.198,1242.221,against_bias,,,,2017-02-09 17:15:00
-1,2017-02-09 11:15:00,1241.199,1241.568,against_bias,,,,2017-02-09 18:15:00
-1,2017-02-09 11:30:00,1238.628,1241.051,against_bias,,,,2017-02-09 18:30:00
1,2017-02-09 14:30:00,1241.002,1240.448,sl_too_tight,,,,2017-02-09 21:30:00
-1,2017-02-09 15:00:00,1238.029,1241.002,against_bias,,,,2017-02-09 22:00:00
-1,2017-02-09 15:15:00,1236.808,1237.018,against_bias,,,,2017-02-09 22:15:00
-1,2017-02-09 15:30:00,1233.268,1234.238,against_bias,,,,2017-02-09 22:30:00
-1,2017-02-10 07:30:00,1223.068,1223.388,sl_too_tight,,,,2017-02-10 14:30:00
1,2017-02-10 08:45:00,1224.478,1223.829,against_bias,,,,2017-02-10 15:45:00
1,2017-02-10 10:45:00,1225.819,1225.469,against_bias,,,,2017-02-10 17:45:00
1,2017-02-10 11:00:00,1226.371,1226.369,against_bias,,,,2017-02-10 18:00:00
-1,2017-02-10 12:15:00,1226.089,1226.301,sl_too_tight,,,,2017-02-10 19:15:00
1,2017-02-10 13:15:00,1226.818,1226.729,against_bias,,,,2017-02-10 20:15:00
-1,2017-02-10 13:45:00,1226.658,1226.818,sl_too_tight,,,,2017-02-10 20:45:00
1,2017-02-10 14:45:00,1227.028,1225.742,against_bias,,,,2017-02-10 21:45:00
1,2017-02-10 15:00:00,1228.242,1228.231,against_bias,,,,2017-02-10 22:00:00
1,2017-02-10 15:15:00,1230.308,1228.888,against_bias,,,,2017-02-10 22:15:00
-1,2017-02-13 09:15:00,1230.029,1230.418,sl_too_tight,,,,2017-02-13 16:15:00
1,2017-02-13 11:00:00,1230.239,1229.739,against_bias,,,,2017-02-13 18:00:00
-1,2017-02-13 12:30:00,1229.668,1229.938,sl_too_tight,,,,2017-02-13 19:30:00
-1,2017-02-13 13:30:00,1226.869,1227.992,sl_too_tight,,,,2017-02-13 20:30:00
-1,2017-02-13 14:45:00,1223.309,1225.348,sl_too_tight,,,,2017-02-13 21:45:00
-1,2017-02-14 07:15:00,1228.658,1229.221,against_bias,,,,2017-02-14 14:15:00
-1,2017-02-14 07:30:00,1227.869,1228.089,against_bias,,,,2017-02-14 14:30:00
1,2017-02-14 08:30:00,1227.969,1227.478,sl_too_tight,,,,2017-02-14 15:30:00
1,2017-02-14 12:45:00,1230.761,1229.739,sl_too_tight,,,,2017-02-14 19:45:00
1,2017-02-14 13:00:00,1231.808,1231.738,sl_too_tight,,,,2017-02-14 20:00:00
-1,2017-02-14 14:45:00,1232.512,1232.911,against_bias,,,,2017-02-14 21:45:00
-1,2017-02-14 15:00:00,1230.369,1231.318,against_bias,,,,2017-02-14 22:00:00
-1,2017-02-14 15:15:00,1227.332,1230.212,against_bias,,,,2017-02-14 22:15:00
-1,2017-02-14 15:45:00,1224.268,1225.039,against_bias,,,,2017-02-14 22:45:00
-1,2017-02-15 07:15:00,1225.018,1225.409,against_bias,,,,2017-02-15 14:15:00
1,2017-02-15 07:45:00,1225.281,1225.018,sl_too_tight,,,,2017-02-15 14:45:00
1,2017-02-15 08:45:00,1225.418,1225.319,sl_too_tight,,,,2017-02-15 15:45:00
1,2017-02-15 12:00:00,1226.059,1225.859,sl_too_tight,,,,2017-02-15 19:00:00
-1,2017-02-15 13:15:00,1225.612,1225.961,against_bias,,,,2017-02-15 20:15:00
-1,2017-02-15 13:30:00,1223.676,1224.991,against_bias,,,,2017-02-15 20:30:00
-1,2017-02-15 13:45:00,1220.051,1224.052,no_room,,,,2017-02-15 20:45:00
1,2017-02-15 14:15:00,1220.701,1220.051,against_bias,,,,2017-02-15 21:15:00
1,2017-02-15 14:45:00,1224.092,1221.972,against_bias,,,,2017-02-15 21:45:00
-1,2017-02-15 15:45:00,1225.609,1225.631,sl_too_tight,,,,2017-02-15 22:45:00
1,2017-02-16 08:15:00,1234.872,1234.129,sl_too_tight,,,,2017-02-16 15:15:00
1,2017-02-16 09:00:00,1237.548,1236.462,sl_too_tight,,,,2017-02-16 16:00:00
-1,2017-02-16 10:15:00,1237.188,1237.271,against_bias,,,,2017-02-16 17:15:00
-1,2017-02-16 11:15:00,1236.579,1236.748,against_bias,,,,2017-02-16 18:15:00
1,2017-02-16 11:45:00,1237.398,1236.579,sl_too_tight,,,,2017-02-16 18:45:00
-1,2017-02-16 12:45:00,1237.458,1237.591,against_bias,,,,2017-02-16 19:45:00
1,2017-02-16 15:00:00,1239.258,1238.539,sl_too_tight,,,,2017-02-16 22:00:00
-1,2017-02-17 08:00:00,1237.348,1237.692,sl_too_tight,,,,2017-02-17 15:00:00
1,2017-02-17 08:30:00,1237.408,1237.348,against_bias,,,,2017-02-17 15:30:00
1,2017-02-17 09:30:00,1240.411,1239.219,against_bias,,,,2017-02-17 16:30:00
1,2017-02-17 12:00:00,1242.451,1241.518,sl_too_tight,,,,2017-02-17 19:00:00
-1,2017-02-17 15:30:00,1240.389,1240.738,against_bias,,,,2017-02-17 22:30:00
1,2017-02-20 07:00:00,1233.658,1233.389,against_bias,,,,2017-02-20 14:00:00
-1,2017-02-20 10:30:00,1235.758,1236.068,sl_too_tight,,,,2017-02-20 17:30:00
1,2017-02-20 13:15:00,1237.441,1236.799,against_bias,,,,2017-02-20 20:15:00
1,2017-02-20 13:30:00,1237.998,1237.809,against_bias,,,,2017-02-20 20:30:00
-1,2017-02-20 14:45:00,1237.558,1237.651,sl_too_tight,,,,2017-02-20 21:45:00
-1,2017-02-21 08:45:00,1232.909,1233.328,sl_too_tight,,,,2017-02-21 15:45:00
-1,2017-02-21 09:15:00,1230.979,1232.041,sl_too_tight,,,,2017-02-21 16:15:00
-1,2017-02-21 10:30:00,1228.718,1229.428,sl_too_tight,,,,2017-02-21 17:30:00
1,2017-02-21 11:30:00,1229.961,1229.308,against_bias,,,,2017-02-21 18:30:00
1,2017-02-21 11:45:00,1230.452,1230.448,against_bias,,,,2017-02-21 18:45:00
-1,2017-02-21 13:30:00,1229.392,1229.488,sl_too_tight,,,,2017-02-21 20:30:00
-1,2017-02-21 13:45:00,1228.668,1228.872,sl_too_tight,,,,2017-02-21 20:45:00
1,2017-02-21 15:00:00,1232.251,1228.939,against_bias,,,,2017-02-21 22:00:00
1,2017-02-22 08:45:00,1235.862,1235.019,against_bias,,,,2017-02-22 15:45:00
1,2017-02-22 09:30:00,1237.018,1236.989,against_bias,,,,2017-02-22 16:30:00
1,2017-02-22 12:45:00,1238.011,1237.789,sl_too_tight,,,,2017-02-22 19:45:00
-1,2017-02-22 14:15:00,1238.038,1238.561,against_bias,,,,2017-02-22 21:15:00
-1,2017-02-22 15:45:00,1234.559,1235.701,against_bias,,,,2017-02-22 22:45:00
1,2017-02-23 09:00:00,1237.161,1237.089,against_bias,,,,2017-02-23 16:00:00
1,2017-02-23 11:45:00,1238.942,1238.458,sl_too_tight,,,,2017-02-23 18:45:00
1,2017-02-23 12:30:00,1239.338,1239.199,sl_too_tight,,,,2017-02-23 19:30:00
1,2017-02-23 12:45:00,1241.489,1240.531,no_room,,,,2017-02-23 19:45:00
1,2017-02-23 13:30:00,1245.959,1243.419,signal,1242.0797214285715,1253.7175571428572,1261.4761142857144,2017-02-23 20:30:00
1,2017-02-24 08:15:00,1253.778,1253.669,sl_too_tight,,,,2017-02-24 15:15:00
1,2017-02-24 09:30:00,1255.719,1254.309,sl_too_tight,,,,2017-02-24 16:30:00
-1,2017-02-24 12:15:00,1257.109,1257.238,against_bias,,,,2017-02-24 19:15:00
1,2017-02-24 12:45:00,1257.428,1257.109,sl_too_tight,,,,2017-02-24 19:45:00
